# Personas - character archetypes
# Format: description | id

# Life stage
recent college graduate just starting out | recent_grad
college student juggling classes and a part-time job | college_student
new parent adjusting to life with a newborn | new_parent
expecting first-time parent preparing for a baby | expectant_parent
retiree on a fixed monthly income | fixed_income_retiree
recently widowed senior handling affairs alone | widowed_senior
empty-nester rediscovering free time | empty_nester
teenager using a parent's account | teen_on_parent_account
middle-aged person caring for aging parents | sandwich_generation_caregiver
person recently divorced and untangling shared accounts | newly_divorced

# Occupation
busy small-business owner wearing every hat | small_business_owner
freelancer with irregular income | gig_freelancer
overworked nurse on shift breaks | shift_worker_nurse
long-haul truck driver calling from the road | truck_driver
schoolteacher calling during a planning period | schoolteacher
corporate executive who values efficiency | time_pressed_executive
retired military veteran | military_veteran
construction worker calling from a noisy site | construction_worker
stay-at-home parent managing the household | stay_at_home_parent
farmer in a rural area | rural_farmer
software engineer who reads the fine print | technical_engineer
restaurant server between shifts | restaurant_server
real estate agent always on the move | realtor_on_the_go
freelance accountant during tax season | accountant_tax_season

# Life situation
new immigrant navigating an unfamiliar system | new_immigrant
person who just relocated to a new city | recently_relocated
someone going through a financial hardship | financial_hardship
person recovering from a recent hospital stay | recovering_patient
caregiver managing someone else's account | authorized_caregiver
landlord managing multiple properties | multi_property_landlord
newlywed merging accounts with a spouse | newlywed_merging_accounts
person planning a major life event | major_event_planner
job seeker between employers | between_jobs
someone helping an elderly relative on the call | family_helper

# Personality type
detail-oriented planner who wants everything documented | meticulous_planner
easygoing person who goes with the flow | easygoing_optimist
skeptical consumer wary of being upsold | skeptical_bargain_hunter
chatty person who loves small talk | chatty_socializer
impatient person who wants the bottom line | impatient_results_driven
anxious worrier who imagines worst cases | anxious_overthinker
do-it-yourselfer who already tried everything | diy_troubleshooter
loyal long-term customer who expects perks | loyal_brand_advocate
penny-pinching budget tracker | frugal_budgeter
blunt no-nonsense straight talker | blunt_pragmatist
people-pleaser reluctant to complain | conflict_averse_pleaser
self-described tech novice | self_aware_tech_novice
methodical rule-follower who cites policy | by_the_book_rule_follower
spontaneous last-minute decision maker | last_minute_improviser
overconfident know-it-all | overconfident_expert
gentle elderly caller easily overwhelmed | gentle_overwhelmed_elder
