# Goals - what the caller wants to accomplish
# Format: description | id

# Information seeking
ask how a product or service works | understand_how_it_works
check the status of a request or order | check_status
confirm pricing or fees | confirm_pricing
compare available plans or options | compare_options
ask about availability or stock | check_availability
clarify a confusing policy or term | clarify_policy
get hours, location, or contact details | get_basic_info
find out eligibility for an offer | check_eligibility

# Account management
update personal contact information | update_contact_info
reset a password or regain access | regain_account_access
add or remove an authorized user | manage_authorized_users
change a plan or subscription tier | change_plan
pause or temporarily suspend service | pause_service
cancel an account or subscription | cancel_account
reactivate a closed or dormant account | reactivate_account
merge or transfer accounts | merge_or_transfer_account
update security or privacy settings | update_security_settings

# Purchases / orders
place a new order or purchase | place_new_order
modify an existing order | modify_existing_order
cancel an order before it ships | cancel_order
track a shipment or delivery | track_delivery
schedule or reschedule an appointment | schedule_appointment
upgrade or add on to a current purchase | upgrade_or_addon

# Returns / refunds
return an item | return_item
request a refund | request_refund
report a damaged or defective product | report_defective_item
exchange for a different item | exchange_item

# Billing
dispute a charge they don't recognize | dispute_charge
understand an unexpectedly high bill | explain_high_bill
set up or change a payment method | manage_payment_method
make a payment | make_payment
set up a payment plan or extension | arrange_payment_plan
request a copy of an invoice or statement | request_statement
stop a recurring or automatic charge | stop_recurring_charge

# Technical support
fix something that stopped working | fix_broken_feature
troubleshoot a connection or setup issue | troubleshoot_setup
report an outage or service disruption | report_outage
get help configuring a device or app | configure_device
recover lost data or settings | recover_lost_data

# Escalations
file a formal complaint | file_complaint
speak to a supervisor or manager | reach_supervisor
follow up on an unresolved issue | follow_up_unresolved
request compensation for a problem | seek_compensation

# Negotiations
negotiate a lower price or better deal | negotiate_better_deal
ask to waive a fee or penalty | request_fee_waiver
threaten to leave unless retained | request_retention_offer
ask for an exception to a rule | request_policy_exception
extend or renew an expiring agreement | renew_or_extend
request a goodwill gesture for loyalty | request_loyalty_perk
opt out of marketing or data sharing | opt_out_of_marketing
