# Emotions - the caller's emotional state
# Format: description | id

# Calm / positive
relaxed and unhurried | calm_relaxed
cheerful and upbeat | cheerful_upbeat
warmly grateful and appreciative | grateful_appreciative
patient and understanding | patient_understanding
hopeful and optimistic | hopeful_optimistic
content and satisfied | content_satisfied
pleasantly surprised | pleasantly_surprised
amused and lighthearted | amused_lighthearted
trusting and cooperative | trusting_cooperative
relieved after a worry lifted | relieved_unburdened

# Neutral / engaged
businesslike and matter-of-fact | businesslike_neutral
curious and inquisitive | curious_inquisitive
focused and determined | focused_determined
cautiously hopeful | cautiously_hopeful
politely detached | politely_detached

# Anxious / fearful
nervous and on edge | nervous_on_edge
anxious about money | financially_anxious
worried something went wrong | worried_apprehensive
panicked over an emergency | panicked_emergency
fearful of making a mistake | fearful_of_mistakes
overwhelmed and frazzled | overwhelmed_frazzled
self-conscious and embarrassed | embarrassed_self_conscious
insecure and seeking reassurance | insecure_reassurance_seeking
dreading bad news | dreading_bad_news

# Frustrated / angry
mildly annoyed | mildly_annoyed
clearly frustrated | clearly_frustrated
fed up after repeated issues | fed_up_repeat_issue
indignant about unfair treatment | indignant_wronged
seething with barely contained anger | barely_contained_anger
openly hostile and combative | openly_hostile
exasperated and at wit's end | exasperated_at_wits_end
bitter and resentful | bitter_resentful
defensive and guarded | defensive_guarded

# Sad / low
disappointed and let down | disappointed_let_down
discouraged and defeated | discouraged_defeated
grieving a recent loss | grieving_loss
lonely and seeking connection | lonely_seeking_contact
emotionally exhausted | emotionally_drained

# Urgent / pressured
in a desperate hurry | desperate_hurry
under intense time pressure | time_pressure_urgent
stressed by a looming deadline | deadline_stressed

# Confused / uncertain
genuinely confused | genuinely_confused
flustered and disoriented | flustered_disoriented
hesitant and unsure | hesitant_unsure
suspicious and distrustful | suspicious_distrustful
skeptical of the answers given | skeptical_doubtful

# Mixed / shifting
calm but quietly simmering | calm_but_simmering
upbeat then suddenly irritated | volatile_mood_swing
resigned and apathetic | resigned_apathetic
guardedly optimistic after a bad start | guardedly_warming
